taxonID,taxonRank,scientificName,Scientific Name Authorship,Nomenclatural Status,Preferred Common Name,establishmentMeans,Habitat,genus,family,order,class,phylum,kingdom,datasetName
NBNSYS0000036040,species,Metzgeria leptoneura,Spruce,,Hooked Veilwort,Native,freshwater,Metzgeria,Metzgeriaceae,Metzgeriales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0021600412,species,Sphaerocarpos europaeus,Lorb.,,Texas Balloonwort,Native,terrestrial,Sphaerocarpos,Sphaerocarpaceae,Sphaerocarpales,Marchantiopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0001596574,species,Anastrophyllum alpinum,Steph.,,,Native,,Anastrophyllum,Anastrophyllaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0020959432,order,Pallaviciniales,,,,Native,,,,,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309593,variety,Cephalozia macrostachya var. macrostachya,Kaal.,,,Native,,Cephalozia,Cephaloziaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000310420,species,Pellia endiviifolia,(Dicks.) Dumort.,,Endive Pellia,Native,freshwater,Pellia,Pelliaceae,Pelliales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0020695875,species,Metzgeria consanguinea,Schiffn.,,Whiskered Veilwort,Native,freshwater,Metzgeria,Metzgeriaceae,Metzgeriales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NBNSYS0000036046,species,Reboulia hemisphaerica,(L.) Raddi,,Hemisphaeric Liverwort,Native,,Reboulia,Aytoniaceae,Marchantiales,Marchantiopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309663,species,Lophocolea bispinosa,"(Hook.f. & Taylor) Gottsche, Lindenb. & Nees",,Great Crestwort,Native,freshwater,Lophocolea,Lophocoleaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000310016,genus,Harpalejeunea,(Spruce) Schiffn.,,,Native,,,Lejeuneaceae,Porellales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
