"Supplied Name","guid","scientificName","family","kingdom"
"Lecanora crenulata","BMSSYS0000048295","Myriolecis crenulata","Lecanoraceae","Fungi"
"Sticta fuliginosa s. str.","NHMSYS0000364214","Sticta fuliginosa s. str.","Lobariaceae","Fungi"
"Cladonia monomorpha","NHMSYS0001477653","Cladonia monomorpha","Cladoniaceae","Fungi"
"Arthonia meridionalis","NHMSYS0020038996","Arthonia meridionalis","Arthoniaceae","Fungi"
"Leptogium teretiusculum","BMSSYS0000051066","Scytinium teretiusculum","Collemataceae","Fungi"
"Fuscidea lygaea","NHMSYS0001482512","Fuscidea lygaea","Fuscideaceae","Fungi"
"Vulpicida pinastri","NHMSYS0020991033","Vulpicida pinastri","Parmeliaceae","Fungi"
"Anaptychia ciliaris subsp. mamillata","BMSSYS0000001446","Anaptychia mamillata","Physciaceae","Fungi"
"Rinodina conradii","NBNSYS0000019002","Rinodina conradii","Physciaceae","Fungi"
"Calicium parvum","NBNSYS0000015538","Calicium parvum","Caliciaceae","Fungi"
"Gyalecta hypoleuca","NHMSYS0020990253","Gyalecta hypoleuca","Gyalectaceae","Fungi"
"Hymenelia cyanocarpa","BMSSYS0000008466","Hymenelia cyanocarpa","Hymeneliaceae","Fungi"
"Cladonia glauca","NHMSYS0001477642","Cladonia glauca","Cladoniaceae","Fungi"
"Collema crispum var. metzleri","BMSSYS0000533587","Blennothallia crispa","Collemataceae","Fungi"
"Lecidea swartzioidea","BMSSYS0000010048","Lecidea swartzioidea","Lecideaceae","Fungi"
"Imshaugia aleurites","NHMSYS0001485229","Imshaugia aleurites","Parmeliaceae","Fungi"
"Physcia clementei","NHMSYS0001493690","Physcia clementei","Physciaceae","Fungi"
"Micarea parva","BMSSYS0000011220","Micarea parva","Pilocarpaceae","Fungi"
"Lepraria alpina","NHMSYS0020535618","Lepraria alpina","Stereocaulaceae","Fungi"
"Phlyctis agelaea","NHMSYS0001493251","Phlyctis agelaea","Phlyctidaceae","Fungi"
"Placynthium lismorense","NBNSYS0000019342","Placynthium lismorense","Placynthiaceae","Fungi"
"Lepraria incana s. lat.","BMSSYS0000533914","Lepraria incana s. lat.","Stereocaulaceae","Fungi"
"Caeruleum heppii","NHMSYS0020989854","Caeruleum heppii","Acarosporaceae","Fungi"
"Lecania inundata","NHMSYS0001486281","Lecania inundata","Ramalinaceae","Fungi"
