"key"	"taxonId"	"origTaxonId"	"prefTaxonName"	"dataValue"	"maxDataValue"	"origTaxon"	"origQualifier"	"notes"	"referenceSummary"	"reference entity id"
"Briza minor L."	"2cd4p9h.kp"	"2cd4p9h.kp"	"Briza minor L."	5	5	"Briza minor"				
"Bromopsis benekenii (Lange) Holub"	"2cd4p9h.x0"	"2cd4p9h.x0"	"Bromopsis benekenii (Lange) Holub"	7	7	"Bromopsis benekenii"				
"Ceratochloa cathartica (Vahl) Herter"	"2cd4p9h.x6"	"2cd4p9h.x6"	"Ceratochloa cathartica (Vahl) Herter"	5	5	"Ceratochloa cathartica"				
"Bromus hordeaceus L."	"2cd4p9h.xf"	"2cd4p9h.xf"	"Bromus hordeaceus L."	7	7	"Bromus hordeaceus"				
"Buddleja davidii Franch."	"2cd4p9h.xy"	"2cd4p9h.xy"	"Buddleja davidii Franch."	7	7	"Buddleja davidii"				
"Bupleurum falcatum L."	"2cd4p9h.m8"	"2cd4p9h.m8"	"Bupleurum falcatum L."	9	9	"Bupleurum falcatum"				
"Bupleurum rotundifolium L."	"2cd4p9h.mb"	"2cd4p9h.mb"	"Bupleurum rotundifolium L."	9	9	"Bupleurum rotundifolium"				
"Clinopodium ascendens (Jord.) Samp."	"2cd4p9h.mh"	"2cd4p9h.mh"	"Clinopodium ascendens (Jord.) Samp."	7	7	"Clinopodium ascendens"				
"Callitriche brutia Petagna"	"2cd4p9h.mn"	"2cd4p9h.mn"	"Callitriche brutia Petagna"	5	5	"Callitriche brutia"				
"Callitriche stagnalis s.l."	"2cd4p9h.mq"	"2cd4p9h.mq"	"Callitriche stagnalis s.l."	6	6	"Callitriche stagnalis"	"s.l."			
"Cardamine pratensis L."	"2cd4p9h.n1"	"2cd4p9h.n1"	"Cardamine pratensis L."	5	5	"Cardamine pratensis"				
"Carduus tenuiflorus Curtis"	"2cd4p9h.n7"	"2cd4p9h.n7"	"Carduus tenuiflorus Curtis"	7	7	"Carduus tenuiflorus"				
"Carex appropinquata Schumach."	"2cd4p9h.nd"	"2cd4p9h.nd"	"Carex appropinquata Schumach."	8	8	"Carex appropinquata"				
"Carex laevigata Sm."	"2cd4p9h.ng"	"2cd4p9h.ng"	"Carex laevigata Sm."	5	5	"Carex laevigata"				
"Carex limosa L."	"2cd4p9h.nw"	"2cd4p9h.nw"	"Carex limosa L."	4	4	"Carex limosa"				
"Carex maritima Gunnerus"	"2cd4p9h.nm"	"2cd4p9h.nm"	"Carex maritima Gunnerus"	7	7	"Carex maritima"				
"Carex nigra (L.) Reichard"	"2cd4p9h.np"	"2cd4p9h.np"	"Carex nigra (L.) Reichard"	4	4	"Carex nigra"				
"Carex rupestris Bellardi ex All."	"2cd4p9h.y3"	"2cd4p9h.y3"	"Carex rupestris Bellardi ex All."	7	7	"Carex rupestris"				
