"key"	"taxonId"	"origTaxonId"	"prefTaxonName"	"dataValue"	"maxDataValue"	"origTaxon"	"origQualifier"	"notes"	"referenceSummary"	"reference entity id"
"Syringa vulgaris L."	"2cd4p9h.p7p"	"2cd4p9h.p7p"	"Syringa vulgaris L."	5	5	"Syringa vulgaris"				
"Teucrium scordium L."	"2cd4p9h.p7s"	"2cd4p9h.p7s"	"Teucrium scordium L."	4	4	"Teucrium scordium"				
"Thalictrum minus L."	"2cd4p9h.p80"	"2cd4p9h.p80"	"Thalictrum minus L."	3	3	"Thalictrum minus"				
"Tilia cordata x platyphyllos = T. x europaea L."	"2cd4p9h.p8f"	"2cd4p9h.p8f"	"Tilia cordata x platyphyllos = T. x europaea L."	6	6	"Tilia cordata x platyphyllos = T. x europaea"				
"Torilis japonica (Houtt.) DC."	"2cd4p9h.p8v"	"2cd4p9h.p8v"	"Torilis japonica (Houtt.) DC."	7	7	"Torilis japonica"				
"Torilis nodosa (L.) Gaertn."	"2cd4p9h.p8x"	"2cd4p9h.p8x"	"Torilis nodosa (L.) Gaertn."	6	6	"Torilis nodosa"				
"Trifolium medium L."	"2cd4p9h.p92"	"2cd4p9h.p92"	"Trifolium medium L."	4	4	"Trifolium medium"				
"Trifolium ornithopodioides L."	"2cd4p9h.p98"	"2cd4p9h.p98"	"Trifolium ornithopodioides L."	3	3	"Trifolium ornithopodioides"				
"Ulex europaeus L."	"2cd4p9h.p9b"	"2cd4p9h.p9b"	"Ulex europaeus L."	3	3	"Ulex europaeus"				
"Ulex gallii Planch."	"2cd4p9h.p9e"	"2cd4p9h.p9e"	"Ulex gallii Planch."	2	2	"Ulex gallii"				
"Urtica urens L."	"2cd4p9h.p9k"	"2cd4p9h.p9k"	"Urtica urens L."	8	8	"Urtica urens"				
"Veronica beccabunga L."	"2cd4p9h.p9t"	"2cd4p9h.p9t"	"Veronica beccabunga L."	6	6	"Veronica beccabunga"				
"Veronica chamaedrys L."	"2cd4p9h.pa1"	"2cd4p9h.pa1"	"Veronica chamaedrys L."	5	5	"Veronica chamaedrys"				
"Vicia lathyroides L."	"2cd4p9h.pa7"	"2cd4p9h.pa7"	"Vicia lathyroides L."	3	3	"Vicia lathyroides"				
"Viola odorata L."	"2cd4p9h.pag"	"2cd4p9h.pag"	"Viola odorata L."	7	7	"Viola odorata"				
"Viola rupestris F.W.Schmidt"	"2cd4p9h.pam"	"2cd4p9h.pam"	"Viola rupestris F.W.Schmidt"	2	2	"Viola rupestris"				
"Zostera marina L."	"2cd4p9h.pb0"	"2cd4p9h.pb0"	"Zostera marina L."	6	6	"Zostera marina"				
"Ligustrum ovalifolium Hassk."	"2cd4p9h.pb3"	"2cd4p9h.pb3"	"Ligustrum ovalifolium Hassk."	8	8	"Ligustrum ovalifolium"				
"Artemisia norvegica Fr."	"2cd4p9h.pb9"	"2cd4p9h.pb9"	"Artemisia norvegica Fr."	1	1	"Artemisia norvegica"				
"Atriplex praecox Hülph."	"2cd4p9h.pbc"	"2cd4p9h.pbc"	"Atriplex praecox Hülph."	6	6	"Atriplex praecox"				
"Rubus arcticus L."	"2cd4p9h.pbf"	"2cd4p9h.pbf"	"Rubus arcticus L."	4	4	"Rubus arcticus"				
"Oenothera cambrica Rostański"	"2cd4p9h.pcb"	"2cd4p9h.pcb"	"Oenothera cambrica Rostański"	3	3	"Oenothera cambrica"				
"Tsuga heterophylla (Raf.) Sarg."	"2cd4p9h.pcn"	"2cd4p9h.pcn"	"Tsuga heterophylla (Raf.) Sarg."	3	3	"Tsuga heterophylla"				
"Oxalis incarnata L."	"2cd4p9h.pdp"	"2cd4p9h.pdp"	"Oxalis incarnata L."	5	5	"Oxalis incarnata"				
"Lysichiton americanus Hultén & H.St.John"	"2cd4p9h.pex"	"2cd4p9h.pex"	"Lysichiton americanus Hultén & H.St.John"	8	8	"Lysichiton americanus"				
"Campanula poscharskyana Degen"	"2cd4p9h.pey"	"2cd4p9h.pey"	"Campanula poscharskyana Degen"	6	6	"Campanula poscharskyana"				
"Cochlearia atlantica Pobed."	"2cd4p9h.py5"	"2cd4p9h.4fn"	"Cochlearia atlantica Pobed."	5	5	"Cochlearia atlantica"				
"Secale cereale L."	"2cd4p9h.q1f"	"2cd4p9h.q1f"	"Secale cereale L."	7	7	"Secale cereale"				
"Salsola kali L."	"2cd4p9h.q7f"	"2cd4p9h.q7f"	"Salsola kali L."	8	8	"Salsola kali"				
