"SITE.x","PLOT.x","Samp_id","Yr_2","BRC_NUMBER","BRC_NAMES","Storm","Label"
2,6,"2_6",1,910665,"Dryopteris affinis/f-mas",1,"y"
2,6,"2_6",1,920183,"Galium odoratum",1,"y"
2,6,"2_6",2,920328,"Cardamine hirsuta/flexuosa",1,"y"
2,6,"2_6",2,920404,"Carex pendula",1,"y"
2,6,"2_6",2,920421,"Carex sylvatica",1,"y"
2,6,"2_6",2,920432,"Castanea sativa",1,"y"
2,6,"2_6",2,920467,"Cerastium fontanum",1,"y"
2,6,"2_6",2,920477,"Chamerion angustifolium",1,"y"
2,6,"2_6",1,920513,"Circaea lutetiana",1,"y"
2,6,"2_6",1,920557,"Corylus avellana",1,"y"
2,6,"2_6",2,920687,"Hyacinthoides non-scripta",1,"y"
2,6,"2_6",1,920695,"Epilobium montanum",1,"y"
2,6,"2_6",1,920705,"Epipactis helleborine",1,"y"
2,6,"2_6",2,920810,"Fagus sylvatica",1,"y"
2,6,"2_6",1,920841,"Fraxinus excelsior",1,"y"
2,6,"2_6",2,920841,"Fraxinus excelsior",1,"y"
2,6,"2_6",1,920952,"Hedera helix",1,"y"
2,6,"2_6",2,920983,"Holcus lanatus",1,"y"
2,6,"2_6",2,8201103,"Brachythecium sp.",1,"y"
2,6,"2_6",2,9101619,"Pteridium aquilinum",1,"y"
2,6,"2_6",2,9201023,"Ilex aquifolium",1,"y"
2,6,"2_6",2,9201057,"Juncus bufonius sens.lat.",1,"y"
2,6,"2_6",2,9201067,"Juncus effusus",1,"y"
2,6,"2_6",1,9201188,"Lonicera periclymenum",1,"y"
2,6,"2_6",2,9201188,"Lonicera periclymenum",1,"y"
2,6,"2_6",2,9201207,"Luzula pilosa",1,"y"
2,6,"2_6",2,9201221,"Lysimachia nemorum",1,"y"
2,6,"2_6",1,9201413,"Oxalis acetosella",1,"y"
2,6,"2_6",2,9201507,"Poa nemoralis/trivialis",1,"y"
2,6,"2_6",2,9201610,"Prunella vulgaris",1,"y"
2,6,"2_6",1,9201638,"Quercus seedling/sp",1,"y"
2,6,"2_6",1,9201640,"Quercus seedling/sp",1,"y"
2,6,"2_6",2,9201660,"Ranunculus repens",1,"y"
2,6,"2_6",1,9201694,"Ribes nigrum/rubrum",1,"y"
2,6,"2_6",1,9201696,"Ribes nigrum/rubrum",1,"y"
2,6,"2_6",1,9201728,"Rubus fruticosus agg.",1,"y"
2,6,"2_6",2,9201728,"Rubus fruticosus agg.",1,"y"
2,6,"2_6",1,9201729,"Rubus idaeus",1,"y"
2,6,"2_6",2,9201753,"Rumex conglomeratus/sanguineus",1,"y"
2,6,"2_6",1,9201819,"Sanicula europaea",1,"y"
2,6,"2_6",2,9201867,"Scrophularia nodosa",1,"y"
2,6,"2_6",2,9201899,"Senecio jacobaea",1,"y"
2,6,"2_6",1,9201951,"Solidago virgaurea",1,"y"
2,6,"2_6",2,9202039,"Taxus baccata",1,"y"
2,6,"2_6",2,9202126,"Urtica dioica",1,"y"
2,6,"2_6",2,9202173,"Veronica officinalis",1,"y"
2,6,"2_6",1,9202217,"Viola riviniana/reichenbiana",1,"y"
2,6,"2_6",1,9202218,"Viola riviniana/reichenbiana",1,"y"
2,6,"2_6",2,9203908,"Taraxacum agg.",1,"y"
2,6,"2_6",1,9204445,"Betula seedling/sp",1,"y"
2,6,"2_6",2,9204445,"Betula seedling/sp",1,"y"
2,6,"2_6",2,9204446,"Quercus seedling/sp",1,"y"
2,6,"2_6",1,9204446,"Quercus seedling/sp",1,"y"
2,6,"2_6",1,9204558,"Salix cin/cap",1,"y"
2,6,"2_6",2,200001583,"Dryopteris dilatata/carthusiana",1,"y"
2,6,"2_6",2,200001595,"Viola riviniana/reichenbiana",1,"y"
2,7,"2_7",2,82040,"Atrichum undulatum",1,"y"
2,7,"2_7",1,92039,"Agrostis stolonifera",1,"y"
2,7,"2_7",1,92046,"Ajuga reptans",1,"y"
2,7,"2_7",1,820184,"Dicranella heteromalla",1,"y"
2,7,"2_7",1,820184,"Rhynchostegium confertum",1,"y"
2,7,"2_7",1,820249,"Eurhynchium praelongum",1,"y"
2,7,"2_7",2,820255,"Eurhynchium striatum",1,"y"
2,7,"2_7",2,820274,"Fissidens taxifolius",1,"y"
2,7,"2_7",2,820362,"Isothecium myosuroides",1,"y"
2,7,"2_7",1,820382,"Mnium hornum",1,"y"
2,7,"2_7",2,820382,"Mnium hornum",1,"y"
2,7,"2_7",2,820395,"Plagiomnium undulatum",1,"y"
2,7,"2_7",2,820592,"Thamnobryum alopecurum",1,"y"
2,7,"2_7",1,820599,"Thuidium tamariscinum",1,"y"
2,7,"2_7",2,910244,"Blechnum spicant",1,"y"
2,7,"2_7",2,920105,"Anemone nemorosa",1,"y"
2,7,"2_7",2,920176,"Arum maculatum",1,"y"
2,7,"2_7",1,920183,"Galium odoratum",1,"y"
2,7,"2_7",2,920240,"Betula seedling/sp",1,"y"
2,7,"2_7",2,920328,"Cardamine hirsuta/flexuosa",1,"y"
2,7,"2_7",1,920404,"Carex pendula",1,"y"
2,7,"2_7",1,920421,"Carex sylvatica",1,"y"
2,7,"2_7",2,920428,"Carpinus betulus",1,"y"
2,7,"2_7",1,920444,"Centaurea nigra",1,"y"
2,7,"2_7",1,920477,"Chamerion angustifolium",1,"y"
2,7,"2_7",1,920513,"Circaea lutetiana",1,"y"
