BIOTOPE_SHORT_TERM1,BIOTOPE_FULL_TERM1,BIOTOPE_CODE1,CLASSN1,BIOTOPE_SHORT_TERM2,BIOTOPE_FULL_TERM2,BIOTOPE_CODE2,CLASSN2,RELATIONSHIP,
Montane habitats,Montane habitats,15,Biodiversity Action Plan Broad Habitats,Deschampsia cespitosa-Galium saxatile grassland,<i>Deschampsia cespitosa</i>-<i>Galium saxatile</i> grassland,U13,National Vegetation Classification,core vegetation type of the broad habitat,
Montane habitats,Montane habitats,15,Biodiversity Action Plan Broad Habitats,Lichen/bryophyte heath,Lichen/bryophyte heath,D3,Phase 1 Habitat Classification,overlaps with,
Montane habitats,Montane habitats,15,Biodiversity Action Plan Broad Habitats,Scrub: dense/continuous,Scrub: dense/continuous,A21,Phase 1 Habitat Classification,overlaps with,
Montane habitats,Montane habitats,15,Biodiversity Action Plan Broad Habitats,Alchemilla alpina-Sibbaldia procumbens dwarf-herb community,<i>Alchemilla alpina</i>-<i>Sibbaldia procumbens</i> dwarf-herb community,U14,National Vegetation Classification,core vegetation type of the broad habitat,
Montane habitats,Montane habitats,15,Biodiversity Action Plan Broad Habitats,Nardus stricta-Carex bigelowii grass-heath,<i>Nardus stricta</i>-<i>Carex bigelowii</i> grass-heath,U7,National Vegetation Classification,core vegetation type of the broad habitat,
Montane habitats,Montane habitats,15,Biodiversity Action Plan Broad Habitats,Calluna vulgaris - Arctostaphylos alpinus heath,<i>Calluna vulgaris</i>-<i>Arctostaphylos alpinus</i> heath,H17,National Vegetation Classification,core vegetation type of the broad habitat,
Montane habitats,Montane habitats,15,Biodiversity Action Plan Broad Habitats,Calluna vulgaris - Juniperus communis ssp. nana heath,<i>Calluna vulgaris</i>-<i>Juniperus communis</i> ssp. <i>nana</i> heath,H15,National Vegetation Classification,core vegetation type of the broad habitat,
Montane habitats,Montane habitats,15,Biodiversity Action Plan Broad Habitats,Calluna vulgaris - Racomitrium lanuginosum heath,<i>Calluna vulgaris</i>-<i>Racomitrium lanuginosum</i> heath,H14,National Vegetation Classification,core vegetation type of the broad habitat,
Montane habitats,Montane habitats,15,Biodiversity Action Plan Broad Habitats,Cryptogramma crispa-Athyrium distentifolium snow-bed,<i>Cryptogramma crispa</i>-<i>Athyrium distentifolium</i> snow-bed,U18,National Vegetation Classification,core vegetation type of the broad habitat,
Montane habitats,Montane habitats,15,Biodiversity Action Plan Broad Habitats,Calluna vulgaris - Cladonia arbuscula heath,<i>Calluna vulgaris</i>-<i>Cladonia arbuscula</i> heath,H13,National Vegetation Classification,core vegetation type of the broad habitat,
Montane habitats,Montane habitats,15,Biodiversity Action Plan Broad Habitats,Montane habitats,Montane habitats,MH0,Integrated Habitat System,is equal to,
Montane habitats,Montane habitats,15,Biodiversity Action Plan Broad Habitats,Vegetated snow-patch,Vegetated snow-patch,E4.1,EUNIS Classification,contains,
Montane habitats,Montane habitats,15,Biodiversity Action Plan Broad Habitats,"Moss and lichen dominated mountain summits, ridges and expos","Moss and lichen dominated mountain summits, ridges and exposed slopes",E4.2,EUNIS Classification,contains,
Montane habitats,Montane habitats,15,Biodiversity Action Plan Broad Habitats,Subarctic and alpine dwarf willow scrub,Subarctic and alpine dwarf willow scrub,F2.1,EUNIS Classification,contains,
Montane habitats,Montane habitats,15,Biodiversity Action Plan Broad Habitats,Boreo-alpine and arctic heaths,Boreo-alpine and arctic heaths,F2.25,EUNIS Classification,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Parietaria diffusa community,<i>Parietaria diffusa</i> community,OV41,National Vegetation Classification,core vegetation type of the broad habitat,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Cymbalaria muralis community,<i>Cymbalaria muralis</i> community,OV42,National Vegetation Classification,core vegetation type of the broad habitat,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Asplenium viride-Cystopteris fragilis community,<i>Asplenium viride</i>-<i>Cystopteris fragilis</i> community,OV40,National Vegetation Classification,core vegetation type of the broad habitat,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Asplenium trichomanes-Asplenium ruta-muraria community,<i>Asplenium trichomanes</i>-<i>Asplenium ruta-muraria</i> community,OV39 ,National Vegetation Classification,core vegetation type of the broad habitat,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Gymnocarpium robertianum-Arrhenatherum elatius community,<i>Gymnocarpium robertianum</i>-<i>Arrhenatherum elatius</i> community,OV38,National Vegetation Classification,core vegetation type of the broad habitat,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Cryptogramma crispa-Deschampsia flexuosa community,<i>Cryptogramma crispa</i>-<i>Deschampsia flexuosa</i> community,U21,National Vegetation Classification,core vegetation type of the broad habitat,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Thelypteris limbosperma-Blechnum spicant community,<i>Thelypteris limbosperma</i>-<i>Blechnum spicant</i> community,U19,National Vegetation Classification,core vegetation type of the broad habitat,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Plants in crevices on acid rocks,Siliceous rocky slopes with chasmophytic vegetation,H8220,EU Habitats Directive Annex I,contains,H8220
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Limestone pavements,Limestone pavements,H8240,EU Habitats Directive Annex I,contains,H8240
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Plants in crevices in base-rich rocks,Calcareous rocky slopes with chasmophytic vegetation,H8210,EU Habitats Directive Annex I,contains,H8210
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Festuca ovina-Minuartia verna community,<i>Festuca ovina</i>-<i>Minuartia verna</i> community,OV37,National Vegetation Classification,core vegetation type of the broad habitat,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Artifical rock exposure and waste: spoil,Artifical rock exposure and waste: spoil,I22,Phase 1 Habitat Classification,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Limestone pavements,Limestone pavements,,Biodiversity Action Plan Priority Habitats,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Natural rock exposure: limestone pavement,Natural rock exposure: limestone pavement,I13,Phase 1 Habitat Classification,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,"Natural rock exposure: scree, basic","Natural rock exposure: scree, basic",I122,Phase 1 Habitat Classification,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Luzula sylvatica-Vaccinium myrtillus tall-herb community,<i>Luzula sylvatica</i>-<i>Vaccinium myrtillus</i> tall-herb community,U16,National Vegetation Classification,core vegetation type of the broad habitat,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,"Natural rock exposure: other exposure, acid/netural","Natural rock exposure: other exposure, acid/netural",I141,Phase 1 Habitat Classification,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,"Natural rock exposure: other exposure, basic","Natural rock exposure: other exposure, basic",I142,Phase 1 Habitat Classification,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Luzula sylvatica-Geum rivale tall-herb community,<i>Luzula sylvatica</i>-<i>Geum rivale</i> tall-herb community,U17,National Vegetation Classification,core vegetation type of the broad habitat,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Acidic scree,Siliceous scree of the montane to snow levels (<i>Androsacetalia alpinae</i> and <i>Galeopsietalia ladani</i>),H8110,EU Habitats Directive Annex I,contains,H8110
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Natural rock exposure: cave,Natural rock exposure: cave,I15,Phase 1 Habitat Classification,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Artifical rock exposure and waste,Artifical rock exposure and waste,I2,Phase 1 Habitat Classification,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Artifical rock exposure and waste: quarry,Artifical rock exposure and waste: quarry,I21,Phase 1 Habitat Classification,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Natural rock exposure: other exposure,Natural rock exposure: other exposure,I14,Phase 1 Habitat Classification,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Natural rock exposure,Natural rock exposure,I1,Phase 1 Habitat Classification,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,"Natural rock exposure: inland cliff, acid/neutral","Natural rock exposure: inland cliff, acid/neutral",I111,Phase 1 Habitat Classification,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,"Natural rock exposure: inland cliff, basic","Natural rock exposure: inland cliff, basic",I112,Phase 1 Habitat Classification,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Natural rock exposure: scree,Natural rock exposure: scree,I12,Phase 1 Habitat Classification,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,"Natural rock exposure: scree, acid/netural","Natural rock exposure: scree, acid/netural",I121,Phase 1 Habitat Classification,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Grasslands on soils rich in heavy metals,Calaminarian grasslands of the <i>Violetalia calaminariae</i>,H6130,EU Habitats Directive Annex I,contains,H6130
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Base-rich scree,Calcareous and calcshist screes of the montane to alpine levels (<i>Thlaspietea rotundifolii</i>),H8120,EU Habitats Directive Annex I,contains,H8120
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Natural rock exposure: inland cliff,Natural rock exposure: inland cliff,I11,Phase 1 Habitat Classification,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Tall herb communities,Hydrophilous tall herb fringe communities of plains and of the montane to alpine levels,H6430,EU Habitats Directive Annex I,contains,H6430
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Upland species-rich ledges,Upland species-rich ledges,C2,Phase 1 Habitat Classification,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Artifical rock exposure and waste: mine,Artifical rock exposure and waste: mine,I23,Phase 1 Habitat Classification,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,"Inland cliffs, rock pavements and outcrops","Inland cliffs, rock pavements and outcrops",H3,EUNIS Classification,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Extractive industrial sites,Extractive industrial sites,J3,EUNIS Classification,overlaps with,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Waste deposits,Waste deposits,J6,EUNIS Classification,overlaps with,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,"Terrestrial underground caves, cave systems, passages and wa","Terrestrial underground caves, cave systems, passages and waterbodies",H1,EUNIS Classification,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Screes,Screes,H2,EUNIS Classification,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Boulder fields,Boulder fields,H5.37,EUNIS Classification,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Heavy-metal grassland,Heavy-metal grassland,E1.B,EUNIS Classification,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Oro-boreal tall-herb communities,Oro-boreal tall-herb communities,E5.59,EUNIS Classification,contains,
Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,Inland rock,Inland rock,RE0,Integrated Habitat System,is equal to,
Built up areas and gardens,Built up areas and gardens,17,Biodiversity Action Plan Broad Habitats,Built-up areas: sea wall,Built-up areas: sea wall,J35,Phase 1 Habitat Classification,contains,
Built up areas and gardens,Built up areas and gardens,17,Biodiversity Action Plan Broad Habitats,Epilobium angustifolium community,<i>Epilobium angustifolium</i> community,OV27,National Vegetation Classification,vegetation type associated with the broad habitat,
Built up areas and gardens,Built up areas and gardens,17,Biodiversity Action Plan Broad Habitats,Built-up areas: buildings,Built-up areas: buildings,J36,Phase 1 Habitat Classification,contains,
Built up areas and gardens,Built up areas and gardens,17,Biodiversity Action Plan Broad Habitats,Built-up areas: caravan site,Built-up areas: caravan site,J34,Phase 1 Habitat Classification,contains,
Built up areas and gardens,Built up areas and gardens,17,Biodiversity Action Plan Broad Habitats,Polygonum aviculare-Chamomilla suaveolens community,<i>Polygonum aviculare</i>-<i>Chamomilla suaveolens</i> community,OV18,National Vegetation Classification,vegetation type associated with the broad habitat,
